MMM	1999-01-01	2099-12-31
ABT	1999-01-01	2099-12-31
ADBE	1999-01-01	2099-12-31
AES	1999-01-01	2099-12-31
AFL	1999-01-01	2099-12-31
A	1999-01-01	2099-12-31
APD	1999-01-01	2099-12-31
AKAM	1999-01-01	2099-12-31
ALL	1999-01-01	2099-12-31
GOOG	1999-01-01	2099-12-31
MO	1999-01-01	2099-12-31
AMZN	2005-11-18	2099-12-31
AEE	1999-01-01	2099-12-31
AEP	1999-01-01	2099-12-31
AXP	1999-01-01	2099-12-31
AIG	1999-01-01	2099-12-31
AMT	1999-01-01	2099-12-31
AMP	1999-01-01	2099-12-31
AMGN	1999-01-01	2099-12-31
APH	1999-01-01	2099-12-31
ADI	1999-01-01	2099-12-31
AON	1999-01-01	2099-12-31
APA	1999-01-01	2099-12-31
AAPL	1999-01-01	2099-12-31
AMAT	1999-01-01	2099-12-31
APTV	1999-01-01	2099-12-31
ADM	1999-01-01	2099-12-31
AIZ	1999-01-01	2099-12-31
T	1999-01-01	2099-12-31
ADSK	1999-01-01	2099-12-31
ADP	1999-01-01	2099-12-31
AZO	1999-01-01	2099-12-31
AVB	2007-01-10	2099-12-31
AVY	1999-01-01	2099-12-31
BALL	1999-01-01	2099-12-31
BAC	1999-01-01	2099-12-31
BAX	1999-01-01	2099-12-31
BDX	1999-01-01	2099-12-31
BRK.B	1999-01-01	2099-12-31
BBY	1999-01-01	2099-12-31
BIIB	1999-01-01	2099-12-31
BNY	1999-01-01	2099-12-31
BA	1999-01-01	2099-12-31
BKNG	1999-01-01	2099-12-31
BSX	1999-01-01	2099-12-31
BMY	1999-01-01	2099-12-31
BF.B	1999-01-01	2099-12-31
BXP	1999-01-01	2099-12-31
CHRW	1999-01-01	2099-12-31
COF	1999-01-01	2099-12-31
CAH	1999-01-01	2099-12-31
CCL	1999-01-04	2099-12-31
CAT	1999-01-01	2099-12-31
CBRE	1999-01-01	2099-12-31
COR	1999-01-01	2099-12-31
CNP	1999-01-01	2099-12-31
CF	1999-01-01	2099-12-31
SCHW	1999-01-01	2099-12-31
CVX	1999-01-01	2099-12-31
CI	1999-01-01	2099-12-31
CINF	1999-01-01	2099-12-31
CTAS	1999-01-01	2099-12-31
CSCO	1999-01-01	2099-12-31
C	1999-01-01	2099-12-31
CLX	1999-01-01	2099-12-31
CME	1999-01-01	2099-12-31
CMS	1999-01-01	2099-12-31
KO	1999-01-01	2099-12-31
CTSH	1999-01-01	2099-12-31
CL	1999-01-01	2099-12-31
CMCSA	1999-01-01	2099-12-31
COP	1999-01-01	2099-12-31
